,url,brand,model,version,year,km,price
0,/clasificados/usados/ford/ikon/ambiente-ac/17699285,Ford,Ikon,Ambiente Ac,2001,123467 km,31500
1,/clasificados/usados/ford/focus/lx/17824644,Ford,Focus,LX ,2000,140000 km,33000
2,/clasificados/usados/ford/sable/ls-premium/17718690,Ford,Sable,LS Premium,2001,145630 km,33000
3,/clasificados/usados/chevrolet/chevy-sedan/16l-monza/17863844,Chevrolet,Chevy Sedán,1.6L Monza,2001,147500 km,35000
4,/clasificados/usados/ford/focus/ambiente/17836320,Ford,Focus,Ambiente,2001,219143 km,35000
5,/clasificados/usados/mitsubishi/galant/gts/17832584,Mitsubishi,Galant,GTS,2001,145000 km,37000
6,/clasificados/usados/chevrolet/astra/4p-24l-comfort-c/17810121,Chevrolet,Astra,4P 2.4L Comfort C,2001,200000 km,38000
7,/clasificados/usados/ford/windstar/sel/17698443,Ford,Windstar,SEL,2000,100000 km,38000
8,/clasificados/usados/ford/sable/ls/17692724,Ford,Sable,LS,2000,144000 km,38500
9,/clasificados/usados/volkswagen/jetta/gls/17871702,Volkswagen,Jetta,GLS,2001,155000 km,39000
10,/clasificados/usados/dodge/neon/20l-le/17856244,Dodge,Neon,2.0L LE,2001,140000 km,40000
11,/clasificados/usados/ford/windstar/se/17758270,Ford,Windstar,SE,2000,130000 km,40000
12,/clasificados/usados/chevrolet/venture/34l-ls-a-regular/17845397,Chevrolet,Venture,3.4L LS A Regular,2000,250000 km,42000
13,/clasificados/usados/ford/focus/se/17800141,Ford,Focus,SE,2001,191775 km,42000
14,/clasificados/usados/honda/odyssey/ex/17699990,Honda,Odyssey,EX,2001,165328 km,42000
15,/clasificados/usados/ford/explorer/xls-4x2-40l-v6/17787526,Ford,Explorer,XLS 4x2 4.0L ,2000,171000 km,45000
16,/clasificados/usados/pontiac/grand-am/gt-coupe-a/17788723,Pontiac,Grand Am,GT Coupé A,2001,112000 km,45000
17,/clasificados/usados/chevrolet/astra/3p-hatchback-tipico/17783113,Chevrolet,Astra,3p Hatchback Típico,2001,120000 km,45000
18,/clasificados/usados/dodge/durango/57l-citadel-4x2-v8/17699937,Dodge,Durango,5.7L Citadel 4x4 V8,2000,174361 km,45000
19,/clasificados/usados/ford/windstar/gl-basica/17695895,Ford,Windstar,GL Básica,2001,120000 km,45000
20,/clasificados/usados/dodge/stratus/24l-rt-aut/17695253,Dodge,Stratus,2.4L RT Aut,2001,146400 km,48000
21,/clasificados/usados/nissan/altima/gle-aut/17694587,Nissan,Altima,GLE Aut,2001,120000 km,50000
22,/clasificados/usados/chrysler/voyager/33l-base/17696037,Chrysler,Voyager,3.3L Base,2001,199000 km,50500
23,/clasificados/usados/ford/f-150/austera/17741345,Ford,F-150,Austera,2001,10000 km,51000
24,/clasificados/usados/ford/explorer/xls-4x2-40l-v6/17819692,Ford,Explorer,XLS 4x2 4.0L ,2000,130000 km,52000
25,/clasificados/usados/honda/accord/ex-30l-v6/17752951,Honda,Accord,EX 3.0L V6,2000,95000 km,55000
26,/clasificados/usados/chevrolet/sonora/53l-a-(v8)/17698558,Chevrolet,Sonora,5.3L A (V8),2000,180000 km,55000
27,/clasificados/usados/chrysler/grand-voyager/lx-aut/17864311,Chrysler,Grand Voyager,LX Aut,2001,220000 km,56000
28,/clasificados/usados/jeep/cherokee/limited/17845251,Jeep,Cherokee,Limited,2000,191 km,58500
29,/clasificados/usados/volkswagen/jetta/20/17819952,Volkswagen,Jetta,2.0,2001,234000 km,60000
30,/clasificados/usados/lincoln/navigator/54l-4x2/17743924,Lincoln,Navigator,5.4L 4x2,2000,107560 km,60000
31,/clasificados/usados/ford/expedition/eddie-bauer-4x4/17718631,Ford,Expedition,Eddie Bauer 4x4 ,2001,146000 km,60000
32,/clasificados/usados/chrysler/voyager/33l-lx-(family-comfort)/17692703,Chrysler,Voyager,3.3L LX (Family Comfort),2001,180000 km,60000
33,/clasificados/usados/honda/odyssey/lx/17864327,Honda,Odyssey,LX,2000,298000 km,65000
