,url,brand,model,version,year,km,price
0,/clasificados/usados/ford/ikon/ambiente-ac/17699285,ford,ikon,ambiente ac,2001,123467,31500
1,/clasificados/usados/ford/focus/lx/17824644,ford,focus,lx,2000,140000,33000
2,/clasificados/usados/ford/sable/ls-premium/17718690,ford,sable,ls premium,2001,145630,33000
3,/clasificados/usados/chevrolet/chevy-sedan/16l-monza/17863844,chevrolet,chevy sedan,1.6l monza,2001,147500,35000
4,/clasificados/usados/ford/focus/ambiente/17836320,ford,focus,ambiente,2001,219143,35000
5,/clasificados/usados/mitsubishi/galant/gts/17832584,mitsubishi,galant,gts,2001,145000,37000
6,/clasificados/usados/chevrolet/astra/4p-24l-comfort-c/17810121,chevrolet,astra,4p 2.4l comfort c,2001,200000,38000
7,/clasificados/usados/ford/windstar/sel/17698443,ford,windstar,sel,2000,100000,38000
8,/clasificados/usados/ford/sable/ls/17692724,ford,sable,ls,2000,144000,38500
9,/clasificados/usados/volkswagen/jetta/gls/17871702,volkswagen,jetta,gls,2001,155000,39000
10,/clasificados/usados/dodge/neon/20l-le/17856244,dodge,neon,2.0l le,2001,140000,40000
11,/clasificados/usados/ford/windstar/se/17758270,ford,windstar,se,2000,130000,40000
12,/clasificados/usados/chevrolet/venture/34l-ls-a-regular/17845397,chevrolet,venture,3.4l ls a regular,2000,250000,42000
13,/clasificados/usados/ford/focus/se/17800141,ford,focus,se,2001,191775,42000
14,/clasificados/usados/honda/odyssey/ex/17699990,honda,odyssey,ex,2001,165328,42000
15,/clasificados/usados/ford/explorer/xls-4x2-40l-v6/17787526,ford,explorer,xls 4x2 4.0l,2000,171000,45000
16,/clasificados/usados/pontiac/grand-am/gt-coupe-a/17788723,pontiac,grand am,gt coupe a,2001,112000,45000
17,/clasificados/usados/chevrolet/astra/3p-hatchback-tipico/17783113,chevrolet,astra,3p hatchback tipico,2001,120000,45000
18,/clasificados/usados/dodge/durango/57l-citadel-4x2-v8/17699937,dodge,durango,5.7l citadel 4x4 v8,2000,174361,45000
19,/clasificados/usados/ford/windstar/gl-basica/17695895,ford,windstar,gl basica,2001,120000,45000
20,/clasificados/usados/dodge/stratus/24l-rt-aut/17695253,dodge,stratus,2.4l rt aut,2001,146400,48000
21,/clasificados/usados/nissan/altima/gle-aut/17694587,nissan,altima,gle aut,2001,120000,50000
22,/clasificados/usados/chrysler/voyager/33l-base/17696037,chrysler,voyager,3.3l base,2001,199000,50500
23,/clasificados/usados/ford/f-150/austera/17741345,ford,f-150,austera,2001,10000,51000
24,/clasificados/usados/ford/explorer/xls-4x2-40l-v6/17819692,ford,explorer,xls 4x2 4.0l,2000,130000,52000
25,/clasificados/usados/honda/accord/ex-30l-v6/17752951,honda,accord,ex 3.0l v6,2000,95000,55000
26,/clasificados/usados/chevrolet/sonora/53l-a-(v8)/17698558,chevrolet,sonora,5.3l a (v8),2000,180000,55000
27,/clasificados/usados/chrysler/grand-voyager/lx-aut/17864311,chrysler,grand voyager,lx aut,2001,220000,56000
28,/clasificados/usados/jeep/cherokee/limited/17845251,jeep,cherokee,limited,2000,191,58500
29,/clasificados/usados/volkswagen/jetta/20/17819952,volkswagen,jetta,2.0,2001,234000,60000
30,/clasificados/usados/lincoln/navigator/54l-4x2/17743924,lincoln,navigator,5.4l 4x2,2000,107560,60000
31,/clasificados/usados/ford/expedition/eddie-bauer-4x4/17718631,ford,expedition,eddie bauer 4x4,2001,146000,60000
32,/clasificados/usados/chrysler/voyager/33l-lx-(family-comfort)/17692703,chrysler,voyager,3.3l lx (family comfort),2001,180000,60000
